3,10.7967,11,7
4,26.2879,11,12
5,27.3938,8,20
6,34.0195,13,33
7,42.4354,13,39
8,52.2862,15,59
9,53.852,32,71
10,55.8659,24,95
11,47.9703,29,117
12,63.8379,35,134
13,64.9437,47,161
14,68.2726,47,194
15,72.4159,54,242
16,94.2702,62,251
17,96.4781,75,290
18,97.888,77,343
19,95.5706,93,372
20,109.69,96,430
21,112.44,108,449
22,117.435,124,526
23,126.48,128,561
24,136.33,146,606
25,141.105,167,658
26,135.149,170,728
27,138.6,183,839
28,143.986,200,830
29,148.228,210,922
30,162.519,228,1035
31,149.374,245,1081
32,150.977,259,1238
33,144.095,314,1211
34,151.077,288,1235
35,140.273,308,1343
36,158.356,327,1387
37,160.472,346,1523
38,186.235,362,1670
39,144.864,381,1715
40,177.065,406,1778
41,176.71,427,1936
42,152.926,456,1972
43,182.866,475,2090
44,165.905,503,2164
45,nan,542,2278
46,219.315,531,2344
47,216.87,551,2531
48,137.687,576,2533
49,141.773,607,2717
50,162.212,630,2920
51,98.473,661,2920
52,80.937,674,2998
53,65.434,706,3300
54,121.152,732,3332
55,258.958,763,3534
